#line   setup    (sde)    prop    (sde)     total    (sde)    perf     (sde)
#1      2        3        4        5        6        7        8        9
0	0.255495 0.001227 0.057838 0.000516 0.313333 0.001363 0.000000 0.001363
10	0.253267 0.001261 0.058317 0.000658 0.311584 0.001406 0.000000 0.001406
20	0.252088 0.001314 0.057582 0.000666 0.309670 0.001428 0.000000 0.001428
30	0.249506 0.001340 0.058148 0.000656 0.307654 0.001410 0.000000 0.001410
40	0.247465 0.001140 0.057746 0.000777 0.305211 0.001319 0.008920 0.001319
50	0.247705 0.001097 0.056721 0.000759 0.304426 0.001281 0.157377 0.001281
60	0.245882 0.001081 0.056471 0.000776 0.302353 0.001258 0.271242 0.001258
70	0.245122 0.001201 0.057073 0.000990 0.302195 0.001443 0.358537 0.001443
80	0.243226 0.001398 0.057419 0.001288 0.300645 0.001821 0.366667 0.001821
90	0.245714 0.001726 0.055714 0.001080 0.301429 0.001688 0.373016 0.001688
100	0.247273 0.002600 0.051818 0.001163 0.299091 0.002015 0.427273 0.002015
