#line   setup    (sde)    prop    (sde)     total    (sde)    perf     (sde)
#1      2        3        4        5        6        7        8        9
0	1.079279 0.002357 2.180901 0.004073 3.260181 0.006163 0.000000 0.006163
10	1.076138 0.002272 2.177525 0.003620 3.253664 0.005663 0.000990 0.005663
20	1.076483 0.002370 2.177582 0.003654 3.254066 0.005758 0.001832 0.005758
30	1.077284 0.002812 2.180617 0.003882 3.257901 0.006504 0.008642 0.006504
40	1.079155 0.002503 2.182958 0.003982 3.262112 0.006210 0.045070 0.006210
50	1.081312 0.002425 2.186230 0.003550 3.267541 0.005761 0.119126 0.005761
60	1.081373 0.002961 2.200392 0.004501 3.281765 0.006971 0.395425 0.006971
70	1.082195 0.002856 2.209268 0.005013 3.291463 0.007255 0.634146 0.007255
80	1.080000 0.003536 2.212258 0.005909 3.292258 0.008803 0.945161 0.008803
90	1.076190 0.005106 2.214762 0.006121 3.290952 0.010097 0.993651 0.010097
100	1.077273 0.006932 2.230000 0.010526 3.307273 0.017057 0.996970 0.017057
