#line   setup    (sde)    prop    (sde)     total    (sde)    perf     (sde)
#1      2        3        4        5        6        7        8        9
0	0.000631 0.000231 0.000450 0.000234 0.001081 0.000321 0.000000 0.000321
10	0.000990 0.000297 0.003564 0.000553 0.004554 0.000586 0.000000 0.000586
20	0.000000 0.000000 0.003846 0.000510 0.003846 0.000510 0.005861 0.000510
30	0.000741 0.000291 0.005802 0.000673 0.006543 0.000657 0.013169 0.000657
40	0.000563 0.000274 0.006479 0.000633 0.007042 0.000611 0.050235 0.000611
50	0.000492 0.000277 0.008033 0.000797 0.008525 0.000798 0.160656 0.000798
60	0.000392 0.000272 0.008235 0.000907 0.008627 0.000878 0.326797 0.000878
70	0.000488 0.000336 0.007561 0.000671 0.008049 0.000619 0.373171 0.000619
80	0.000323 0.000317 0.006129 0.000875 0.006452 0.000973 0.435484 0.000973
90	0.000000 0.000000 0.007143 0.000986 0.007143 0.000986 0.526984 0.000986
100	0.000000 0.000000 0.004545 0.001501 0.004545 0.001501 0.639394 0.001501
