#line   setup    (sde)    prop    (sde)     total    (sde)    perf     (sde)
#1      2        3        4        5        6        7        8        9
0	0.860360 0.027788 5.113063 0.078511 5.973423 0.089180 0.000000 0.089180
10	0.780000 0.021236 5.066535 0.085194 5.846535 0.093874 0.000000 0.093874
20	0.776264 0.028204 4.920879 0.088334 5.697143 0.101046 0.006593 0.101046
30	0.737037 0.026540 4.787407 0.088270 5.524444 0.096919 0.023045 0.096919
40	0.831268 0.031107 5.086056 0.108786 5.917324 0.119338 0.041784 0.119338
50	1.063279 0.057791 5.154754 0.158759 6.218033 0.183565 0.066120 0.183565
60	2.140196 0.168585 5.029412 0.176738 7.169608 0.268544 0.088235 0.268544
70	0.807073 0.039095 4.240244 0.159461 5.047317 0.159965 0.115447 0.159965
80	1.170968 0.089159 4.015806 0.264137 5.186774 0.313707 0.163441 0.313707
90	0.828571 0.046692 4.196667 0.221139 5.025238 0.244069 0.222222 0.244069
100	0.895455 0.078365 2.621818 0.122803 3.517273 0.172066 0.257576 0.172066
